fuel_type,fuel_class,plot_id,n_transect,plot_tran,time,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time
wd,hr0001,RxF01,1,RxF01_1,2016,1.3497569603102297,Metric tons per hectare,0.6020325425112533,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF01,1,RxF01_1,2016,7.387591550588564,Metric tons per hectare,3.2950898976755414,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF01,1,RxF01_1,2016,3.3276441719210954,Metric tons per hectare,1.4842302283323352,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF01,1,RxF01_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF01,1,RxF01_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF01,2,RxF01_2,2016,0.8326962845865127,Metric tons per hectare,0.37140779865589324,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF01,2,RxF01_2,2016,7.324675842969542,Metric tons per hectare,3.267027583840117,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF01,2,RxF01_2,2016,6.598609225526817,Metric tons per hectare,2.943179850814816,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
wd,hr1000r,RxF01,2,RxF01_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),4,1
wd,hr1000s,RxF01,2,RxF01_2,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),5,1
wd,hr0001,RxF01,1,RxF01_1,2017,0.2999459911800511,Metric tons per hectare,0.13378500944694519,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF01,1,RxF01_1,2017,2.014797695615063,Metric tons per hectare,0.8986608811842386,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF01,1,RxF01_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF01,1,RxF01_1,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF01,1,RxF01_1,2017,4.364882265894114,Metric tons per hectare,1.9468698777404614,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF01,2,RxF01_2,2017,0.2676523771885219,Metric tons per hectare,0.11938107813939426,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2
wd,hr0010,RxF01,2,RxF01_2,2017,0.6658796220881401,Metric tons per hectare,0.2970025076218288,Tons per acre,Coarse woody debris,10-hr,0 Years post-fire (2017),0-y post-fire (2017),2,2
wd,hr0100,RxF01,2,RxF01_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,0 Years post-fire (2017),0-y post-fire (2017),3,2
wd,hr1000r,RxF01,2,RxF01_2,2017,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,0 Years post-fire (2017),0-y post-fire (2017),4,2
wd,hr1000s,RxF01,2,RxF01_2,2017,220.80148821491917,Metric tons per hectare,98.48416066677929,Tons per acre,Coarse woody debris,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),5,2
wd,hr0001,RxF01,1,RxF01_1,2019,0.47991358588808175,Metric tons per hectare,0.2140560151151123,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3
wd,hr0010,RxF01,1,RxF01_1,2019,1.3431984637433754,Metric tons per hectare,0.5991072541228257,Tons per acre,Coarse woody debris,10-hr,2 Years post-fire (2019),2-y post-fire (2019),2,3
wd,hr0100,RxF01,1,RxF01_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,2 Years post-fire (2019),2-y post-fire (2019),3,3
wd,hr1000r,RxF01,1,RxF01_1,2019,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),4,3
