year,plot_id,survey,timing,date,plot_tran,transect_id,transect_rep,data_type,fuel_class,value,value_si,units,units_si,lab_fuel,lab_timing
2021,FOR05,cont,pre,2021-07-07,FOR05_H1,H1,1,wd,hr0001,0.21884841474637637,0.4906581458613758,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H1,H1,1,wd,hr0001,0.7160234039550121,1.605324471667137,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H2,H2,1,wd,hr0001,1.0072360225595152,2.258223162578433,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H2,H2,1,wd,hr0001,0.6529196224287968,1.4638457934853624,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR05,cont,pre,2021-07-07,FOR05_H3,H3,1,wd,hr0001,0.4796423299578135,1.0753581037654178,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR05,trmt,post,2021-10-19,FOR05_H3,H3,1,wd,hr0001,0.7947790725641939,1.7818946806889226,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR06,cont,pre,2021-06-16,FOR06_H1,H1,1,wd,hr0001,0.39319220766317337,0.8815369295808346,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR06,trmt,post,2021-10-19,FOR06_H1,H1,1,wd,hr0001,1.1009512229905374,2.4683326419447846,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR06,cont,pre,2021-06-16,FOR06_H2,H2,1,wd,hr0001,0,0,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR06,trmt,post,2021-10-19,FOR06_H2,H2,1,wd,hr0001,3.8932188175317557,8.728596588906196,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR06,cont,pre,2021-06-16,FOR06_H3,H3,1,wd,hr0001,0.11180912406222471,0.2506760561475078,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR06,trmt,post,2021-10-19,FOR06_H3,H3,1,wd,hr0001,0.40835120334457203,0.9155233978985305,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR07,cont,pre,2021-06-10,FOR07_H1,H1,1,wd,hr0001,2.629935572349867,5.896315553208402,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR07,trmt,post,2021-10-18,FOR07_H1,H1,1,wd,hr0001,1.246977358479395,2.7957232377108037,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR07,cont,pre,2021-06-10,FOR07_H2,H2,1,wd,hr0001,0.4479364195573532,1.0042734526475858,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR07,trmt,post,2021-10-18,FOR07_H2,H2,1,wd,hr0001,0.7377863718052876,1.6541170455874548,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR07,cont,pre,2021-06-10,FOR07_H3,H3,1,wd,hr0001,0.7255257226858923,1.6266286702617705,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR07,trmt,post,2021-10-18,FOR07_H3,H3,1,wd,hr0001,0.6051960970709908,1.3568496496331612,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR08,cont,pre,2021-06-15,FOR08_H1,H1,1,wd,hr0001,0.052843306361523006,0.11847469286253458,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR08,trmt,post,2021-10-19,FOR08_H1,H1,1,wd,hr0001,0.17691229520743465,0.3966373658550685,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR08,cont,pre,2021-06-15,FOR08_H2,H2,1,wd,hr0001,0.07842326666678454,0.17582496386693092,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR08,trmt,post,2021-10-19,FOR08_H2,H2,1,wd,hr0001,0.19094586768411614,0.4281006353477884,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR08,cont,pre,2021-06-15,FOR08_H3,H3,1,wd,hr0001,0.21317436887013932,0.47793693500685236,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR08,trmt,post,2021-10-19,FOR08_H3,H3,1,wd,hr0001,0.8596589968551483,1.9273554709492426,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H1,H1,1,wd,hr0001,0.1788495606436711,0.4009807149631106,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR10,trmt,post,2021-12-09,FOR10_H1,H1,1,wd,hr0001,0.6531974373204649,1.4644686544724823,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H2,H2,1,wd,hr0001,0.07842326666678454,0.17582496386693092,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
2021,FOR10,trmt,post,2021-12-09,FOR10_H2,H2,1,wd,hr0001,1.3047967625081272,2.9253543415432213,tons_per_acre,tons_per_hectare,1-hr,Post-thinning
2021,FOR10,cont,pre,2021-06-09,FOR10_H3,H3,1,wd,hr0001,0,0,tons_per_acre,tons_per_hectare,1-hr,Pre-thinning
