plot_id,data_type,fuel_class,plot_tran,transect_id,transect_rep,lab_fuel,cont,trmt,diff
FOR05,dl,duff,FOR05_H1,H1,1,Duff,0.7874015748,0.7874015748,0
FOR05,dl,duff,FOR05_H1,H1,2,Duff,0.3937007874,0.3937007874,0
FOR05,dl,duff,FOR05_H2,H2,1,Duff,0.3937007874,1.1811023621999999,0.7874015747999998
FOR05,dl,duff,FOR05_H2,H2,2,Duff,0.7874015748,0,-0.7874015748
FOR05,dl,duff,FOR05_H3,H3,1,Duff,0,0.3937007874,0.3937007874
FOR05,dl,duff,FOR05_H3,H3,2,Duff,0,0,0
FOR05,dl,litter,FOR05_H1,H1,1,Litter,1.968503937,2.7559055118,0.7874015748000001
FOR05,dl,litter,FOR05_H1,H1,2,Litter,2.3622047243999997,1.1811023621999999,-1.1811023621999999
FOR05,dl,litter,FOR05_H2,H2,1,Litter,1.5748031496,1.968503937,0.39370078740000003
FOR05,dl,litter,FOR05_H2,H2,2,Litter,2.3622047243999997,1.5748031496,-0.7874015747999998
FOR05,dl,litter,FOR05_H3,H3,1,Litter,2.7559055118,1.5748031496,-1.1811023622
FOR05,dl,litter,FOR05_H3,H3,2,Litter,0.7874015748,0.7874015748,0
FOR05,wd,hr0001,FOR05_H1,H1,1,1-hr,0.21884841474637637,0.7160234039550121,0.4971749892086357
FOR05,wd,hr0001,FOR05_H2,H2,1,1-hr,1.0072360225595152,0.6529196224287968,-0.3543164001307184
FOR05,wd,hr0001,FOR05_H3,H3,1,1-hr,0.4796423299578135,0.7947790725641939,0.3151367426063804
FOR05,wd,hr0010,FOR05_H1,H1,1,10-hr,1.3396117738265667,3.0626019258866943,1.7229901520601276
FOR05,wd,hr0010,FOR05_H2,H2,1,10-hr,2.8825614598656983,3.2218130642364335,0.3392516043707352
FOR05,wd,hr0010,FOR05_H3,H3,1,10-hr,2.609759771369005,1.7899190178955025,-0.8198407534735026
FOR05,wd,hr0100,FOR05_H1,H1,1,100-hr,1.483514664202236,9.104759772749357,7.621245108547122
FOR05,wd,hr0100,FOR05_H2,H2,1,100-hr,0,1.4512236353093284,1.4512236353093284
FOR05,wd,hr0100,FOR05_H3,H3,1,100-hr,0,8.868702204306071,8.868702204306071
FOR05,wd,hr1000r,FOR05_H1,H1,1,1000-hr rotten,0,0,0
FOR05,wd,hr1000r,FOR05_H2,H2,1,1000-hr rotten,0,0,0
FOR05,wd,hr1000r,FOR05_H3,H3,1,1000-hr rotten,0,0,0
FOR05,wd,hr1000s,FOR05_H1,H1,1,1000-hr sound,0,122.67717242907744,122.67717242907744
FOR05,wd,hr1000s,FOR05_H2,H2,1,1000-hr sound,9.94520824968487,68.5287005954848,58.58349234579994
FOR05,wd,hr1000s,FOR05_H3,H3,1,1000-hr sound,28.84535734917493,246.74848892929333,217.9031315801184
FOR06,dl,duff,FOR06_H1,H1,1,Duff,0,0,0
FOR06,dl,duff,FOR06_H1,H1,2,Duff,0,0.3937007874,0.3937007874
FOR06,dl,duff,FOR06_H2,H2,1,Duff,0,0.3937007874,0.3937007874
FOR06,dl,duff,FOR06_H2,H2,2,Duff,0,0,0
FOR06,dl,duff,FOR06_H3,H3,1,Duff,0,0,0
FOR06,dl,duff,FOR06_H3,H3,2,Duff,0,0,0
FOR06,dl,litter,FOR06_H1,H1,1,Litter,2.3622047243999997,0.7874015748,-1.5748031495999997
FOR06,dl,litter,FOR06_H1,H1,2,Litter,1.1811023621999999,1.1811023621999999,0
FOR06,dl,litter,FOR06_H2,H2,1,Litter,0.7874015748,1.5748031496,0.7874015748
FOR06,dl,litter,FOR06_H2,H2,2,Litter,0.3937007874,0.7874015748,0.3937007874
FOR06,dl,litter,FOR06_H3,H3,1,Litter,2.7559055118,0.7874015748,-1.968503937
FOR06,dl,litter,FOR06_H3,H3,2,Litter,2.3622047243999997,0.7874015748,-1.5748031495999997
FOR06,wd,hr0001,FOR06_H1,H1,1,1-hr,0.39319220766317337,1.1009512229905374,0.7077590153273641
FOR06,wd,hr0001,FOR06_H2,H2,1,1-hr,0,3.8932188175317557,3.8932188175317557
FOR06,wd,hr0001,FOR06_H3,H3,1,1-hr,0.11180912406222471,0.40835120334457203,0.2965420792823473
FOR06,wd,hr0010,FOR06_H1,H1,1,10-hr,0.32090699940892536,2.3476900722971044,2.026783072888179
FOR06,wd,hr0010,FOR06_H2,H2,1,10-hr,1.925441996453552,4.108457626519932,2.1830156300663806
FOR06,wd,hr0010,FOR06_H3,H3,1,10-hr,0,0.9388055355525765,0.9388055355525765
FOR06,wd,hr0100,FOR06_H1,H1,1,100-hr,1.4215170358152247,5.81617489703223,4.394657861217006
FOR06,wd,hr0100,FOR06_H2,H2,1,100-hr,0,7.2702186212902875,7.2702186212902875
FOR06,wd,hr0100,FOR06_H3,H3,1,100-hr,0,0,0
FOR06,wd,hr1000r,FOR06_H1,H1,1,1000-hr rotten,0,0,0
FOR06,wd,hr1000r,FOR06_H2,H2,1,1000-hr rotten,0,0,0
FOR06,wd,hr1000r,FOR06_H3,H3,1,1000-hr rotten,0,0,0
