year,plot_id,timing,date,plot_tran,transect_n,transect_rep,data_type,fuel_class,value,value_si,units,units_si,lab_fuel,lab_year,lab_year_abbr,lab_type
2016,RxF01,0Pre-burn,2016-08-17,RxF01_1,1,a,wd,hr0001,0.6020325425112533,1.3497569603102297,tons_per_acre,tons_per_hectare,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_1,1,a,wd,hr0010,3.2950898976755414,7.387591550588564,tons_per_acre,tons_per_hectare,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_1,1,a,wd,hr0100,1.4842302283323352,3.3276441719210954,tons_per_acre,tons_per_hectare,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_1,1,a,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_2,2,a,wd,hr0001,0.37140779865589324,0.8326962845865127,tons_per_acre,tons_per_hectare,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_2,2,a,wd,hr0010,3.267027583840117,7.324675842969542,tons_per_acre,tons_per_hectare,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_2,2,a,wd,hr0100,2.943179850814816,6.598609225526817,tons_per_acre,tons_per_hectare,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_2,2,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF01,0Pre-burn,2016-08-17,RxF01_2,2,a,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2017,RxF01,1Post-burn,2017-11-21,RxF01_1,1,a,wd,hr0001,0.13378500944694519,0.2999459911800511,tons_per_acre,tons_per_hectare,1-hr,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
2017,RxF01,1Post-burn,2017-11-21,RxF01_1,1,a,wd,hr0010,0.8986608811842386,2.014797695615063,tons_per_acre,tons_per_hectare,10-hr,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
2017,RxF01,1Post-burn,2017-11-21,RxF01_1,1,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
2017,RxF01,1Post-burn,2017-11-21,RxF01_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris
