metric,data_type,fuel_class,plot_id,timing,value_tran,value_raw,units,transform,lab_type,lab_thin,lab_fuel
total,dl,all,FOR05,survey1,1.6448536269514715,6,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,All
total,dl,all,FOR06,survey1,-0.125661346855074,4.167,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,All
total,dl,all,FOR07,survey1,1.0364333894937894,5.833,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,All
total,dl,all,FOR08,survey1,0.12566134685507413,4.5,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,All
total,dl,all,FOR10,survey1,-0.3853204664075676,4,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,All
total,dl,all,FOR05,survey2,0.6744897501960817,5.333,depth_in_cm,ordernorm,Duff & litter,Post-thinning,All
total,dl,all,FOR06,survey2,-1.0364333894937894,2.833,depth_in_cm,ordernorm,Duff & litter,Post-thinning,All
total,dl,all,FOR07,survey2,-0.6744897501960817,3.583,depth_in_cm,ordernorm,Duff & litter,Post-thinning,All
total,dl,all,FOR08,survey2,0.3853204664075676,5.167,depth_in_cm,ordernorm,Duff & litter,Post-thinning,All
total,dl,all,FOR10,survey2,-1.6448536269514726,1.667,depth_in_cm,ordernorm,Duff & litter,Post-thinning,All
mean,dl,duff,FOR05,survey1,0.2533471031357998,1,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Duff
mean,dl,duff,FOR06,survey1,-1.6448536269514726,0,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Duff
mean,dl,duff,FOR07,survey1,0.2533471031357998,1,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Duff
mean,dl,duff,FOR08,survey1,1.0364333894937894,1.333,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Duff
mean,dl,duff,FOR10,survey1,-1.0364333894937894,0.167,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Duff
mean,dl,duff,FOR05,survey2,0.6744897501960817,1.167,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Duff
mean,dl,duff,FOR06,survey2,-0.5244005127080407,0.333,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Duff
mean,dl,duff,FOR07,survey2,-0.125661346855074,0.75,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Duff
mean,dl,duff,FOR08,survey2,1.6448536269514715,2.333,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Duff
mean,dl,duff,FOR10,survey2,-0.5244005127080407,0.333,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Duff
mean,dl,litter,FOR05,survey1,1.6448536269514715,5,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Litter
mean,dl,litter,FOR06,survey1,0.5244005127080407,4.167,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Litter
mean,dl,litter,FOR07,survey1,1.0364333894937894,4.833,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Litter
mean,dl,litter,FOR08,survey1,-0.125661346855074,3.167,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Litter
mean,dl,litter,FOR10,survey1,0.12566134685507413,3.833,depth_in_cm,ordernorm,Duff & litter,Pre-thinning,Litter
mean,dl,litter,FOR05,survey2,0.5244005127080407,4.167,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Litter
mean,dl,litter,FOR06,survey2,-1.0364333894937894,2.5,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Litter
mean,dl,litter,FOR07,survey2,-0.5244005127080407,2.833,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Litter
mean,dl,litter,FOR08,survey2,-0.5244005127080407,2.833,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Litter
mean,dl,litter,FOR10,survey2,-1.6448536269514726,1.333,depth_in_cm,ordernorm,Duff & litter,Post-thinning,Litter
