survey,plot_id,data_type,fuel_class,mean,lab_fuel,lab_type,subset
cont,FOR05,dl,duff,0.3937007874,Duff,Duff & litter,survey_plot_class
cont,FOR05,dl,litter,1.968503937,Litter,Duff & litter,survey_plot_class
cont,FOR05,wd,hr0001,0.5685755890879016,1-hr,Coarse woody debris,survey_plot_class
cont,FOR05,wd,hr0010,2.27731100168709,10-hr,Coarse woody debris,survey_plot_class
cont,FOR05,wd,hr0100,0.49450488806741205,100-hr,Coarse woody debris,survey_plot_class
cont,FOR05,wd,hr1000r,0,1000-hr rotten,Coarse woody debris,survey_plot_class
cont,FOR05,wd,hr1000s,12.930188532953267,1000-hr sound,Coarse woody debris,survey_plot_class
cont,FOR06,dl,duff,0,Duff,Duff & litter,survey_plot_class
cont,FOR06,dl,litter,1.6404199474999999,Litter,Duff & litter,survey_plot_class
cont,FOR06,wd,hr0001,0.16833377724179935,1-hr,Coarse woody debris,survey_plot_class
cont,FOR06,wd,hr0010,0.7487829986208259,10-hr,Coarse woody debris,survey_plot_class
cont,FOR06,wd,hr0100,0.4738390119384082,100-hr,Coarse woody debris,survey_plot_class
cont,FOR06,wd,hr1000r,0,1000-hr rotten,Coarse woody debris,survey_plot_class
cont,FOR06,wd,hr1000s,0,1000-hr sound,Coarse woody debris,survey_plot_class
cont,FOR07,dl,duff,0.3937007874,Duff,Duff & litter,survey_plot_class
cont,FOR07,dl,litter,1.9028871390999997,Litter,Duff & litter,survey_plot_class
cont,FOR07,wd,hr0001,1.2677992381977043,1-hr,Coarse woody debris,survey_plot_class
cont,FOR07,wd,hr0010,2.6817034491001586,10-hr,Coarse woody debris,survey_plot_class
cont,FOR07,wd,hr0100,1.4771536886886465,100-hr,Coarse woody debris,survey_plot_class
cont,FOR07,wd,hr1000r,0,1000-hr rotten,Coarse woody debris,survey_plot_class
cont,FOR07,wd,hr1000s,20.20183849526774,1000-hr sound,Coarse woody debris,survey_plot_class
cont,FOR08,dl,duff,0.5249343832,Duff,Duff & litter,survey_plot_class
cont,FOR08,dl,litter,1.2467191601,Litter,Duff & litter,survey_plot_class
