data_type,year,plot_id,fuel_class,value,value_si,lab_year,lab_year_abbr,lab_fuel,lab_type,subset,statistic
dl,2016,RxF01,duff,1.125,2.8575,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF01,litter,0.625,1.5875,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF02,duff,1.5625,3.96875,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF02,litter,2.375,6.0325,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF03,duff,1.0625,2.69875,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF03,litter,1.9375,4.921250000000001,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF04,duff,1.4375,3.65125,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF04,litter,1.1875,3.01625,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF05,duff,1,2.54,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF05,litter,0.625,1.5875,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF06,duff,2.0625,5.2387500000000005,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF06,litter,0.95,2.4130000000000003,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF07,duff,2.375,6.032500000000001,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF07,litter,2.25,5.715000000000001,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF08,duff,2,5.08,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF08,litter,1.4375,3.65125,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2016,RxF09,duff,1.5,3.81,1 Year pre-fire (2016),1-y pre-fire (2016),Duff,Duff & litter,yr_plot_class,mean
dl,2016,RxF09,litter,2.5,6.3500000000000005,1 Year pre-fire (2016),1-y pre-fire (2016),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF01,duff,0.3125,0.79375,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF01,litter,0.3625,0.92075,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF02,duff,0.5,1.27,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF02,litter,0.4625,1.17475,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF03,duff,0.6875,1.74625,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF03,litter,1.05,2.667,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF04,duff,0.4875,1.23825,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF04,litter,0.2,0.508,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF05,duff,0.2375,0.6032500000000001,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF05,litter,0.1375,0.34925,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF06,duff,0.4375,1.11125,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF06,litter,0.07500000000000001,0.1905,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF07,duff,0.5,1.27,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF07,litter,0.2125,0.53975,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF08,duff,0.3375,0.8572500000000001,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF08,litter,0.07500000000000001,0.1905,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2017,RxF09,duff,0.4375,1.11125,0 Years post-fire (2017),0-y post-fire (2017),Duff,Duff & litter,yr_plot_class,mean
dl,2017,RxF09,litter,0.05,0.127,0 Years post-fire (2017),0-y post-fire (2017),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF01,duff,0.2375,0.6032500000000001,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF01,litter,1.275,3.2385,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF02,duff,0.025,0.0635,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF02,litter,3.3125,8.41375,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF03,duff,0.05,0.127,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF03,litter,0.5,1.27,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF04,duff,0.1125,0.28575,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF04,litter,1.4375,3.65125,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF05,duff,0.025,0.0635,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF05,litter,2.375,6.0325,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF06,duff,0.175,0.4445,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF06,litter,3.75,9.525,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF07,duff,0.1375,0.34925,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF07,litter,1.5625,3.96875,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF08,duff,0,0,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF08,litter,1.0625,2.69875,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2019,RxF09,duff,0,0,2 Years post-fire (2019),2-y post-fire (2019),Duff,Duff & litter,yr_plot_class,mean
dl,2019,RxF09,litter,0.7125,1.80975,2 Years post-fire (2019),2-y post-fire (2019),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF01,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF01,litter,1.6875,4.28625,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF02,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF02,litter,0.625,1.5875,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF03,duff,0.1125,0.28575,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF03,litter,0.3375,0.8572500000000001,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF04,duff,0.5,1.27,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF04,litter,0.9375,2.38125,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF05,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
dl,2021,RxF05,litter,0.3,0.762,4 Years post-fire (2021),4-y post-fire (2021),Litter,Duff & litter,yr_plot_class,mean
dl,2021,RxF06,duff,0.1,0.254,4 Years post-fire (2021),4-y post-fire (2021),Duff,Duff & litter,yr_plot_class,mean
