data_type,year,plot_id,value,lab_year,lab_year_abbr,lab_type,subset,statistic
dl,2016,RxF01,1.75,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF02,3.9375,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF03,3,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF04,2.625,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF05,1.625,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF06,3.0125,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF07,4.625,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF08,3.4375,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2016,RxF09,4,1 Year pre-fire (2016),1-y pre-fire (2016),Duff & litter,yr_plot,total
dl,2017,RxF01,0.675,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF02,0.9625,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF03,1.7375,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF04,0.6875,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF05,0.375,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF06,0.5125,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF07,0.7125,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF08,0.41250000000000003,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
dl,2017,RxF09,0.4875,0 Years post-fire (2017),0-y post-fire (2017),Duff & litter,yr_plot,total
