fuel_type,fuel_class,plot_id,time,value_norm,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time,subset_by,metric
dl,duff,FOR05,t1,0.2533471031357998,0.999999999996,Depth in centimeters,0.3937007874,Depth in inches,Duff & litter,Duff,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
dl,duff,FOR05,t2,0.6744897501960817,1.166666666662,Depth in centimeters,0.45931758529999994,Depth in inches,Duff & litter,Duff,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
dl,duff,FOR06,t1,-1.6448536269514726,0,Depth in centimeters,0,Depth in inches,Duff & litter,Duff,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
dl,duff,FOR06,t2,-0.5244005127080407,0.333333333332,Depth in centimeters,0.1312335958,Depth in inches,Duff & litter,Duff,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
dl,duff,FOR07,t1,0.2533471031357998,0.999999999996,Depth in centimeters,0.3937007874,Depth in inches,Duff & litter,Duff,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
dl,duff,FOR07,t2,-0.125661346855074,0.749999999997,Depth in centimeters,0.29527559054999997,Depth in inches,Duff & litter,Duff,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
dl,duff,FOR08,t1,1.0364333894937894,1.333333333328,Depth in centimeters,0.5249343832,Depth in inches,Duff & litter,Duff,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
dl,duff,FOR08,t2,1.6448536269514715,2.333333333324,Depth in centimeters,0.9186351706,Depth in inches,Duff & litter,Duff,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
dl,duff,FOR10,t1,-1.0364333894937894,0.166666666666,Depth in centimeters,0.0656167979,Depth in inches,Duff & litter,Duff,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
dl,duff,FOR10,t2,-0.5244005127080407,0.333333333332,Depth in centimeters,0.1312335958,Depth in inches,Duff & litter,Duff,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
dl,litter,FOR05,t1,1.6448536269514715,4.99999999998,Depth in centimeters,1.968503937,Depth in inches,Duff & litter,Litter,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
dl,litter,FOR05,t2,0.5244005127080407,4.16666666665,Depth in centimeters,1.6404199475,Depth in inches,Duff & litter,Litter,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
dl,litter,FOR06,t1,0.5244005127080407,4.16666666665,Depth in centimeters,1.6404199475,Depth in inches,Duff & litter,Litter,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
dl,litter,FOR06,t2,-1.0364333894937894,2.49999999999,Depth in centimeters,0.9842519685,Depth in inches,Duff & litter,Litter,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
dl,litter,FOR07,t1,1.0364333894937894,4.833333333314,Depth in centimeters,1.9028871390999995,Depth in inches,Duff & litter,Litter,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
dl,litter,FOR07,t2,-0.5244005127080407,2.833333333322,Depth in centimeters,1.1154855643,Depth in inches,Duff & litter,Litter,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
dl,litter,FOR08,t1,-0.125661346855074,3.166666666654,Depth in centimeters,1.2467191601,Depth in inches,Duff & litter,Litter,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
dl,litter,FOR08,t2,-0.5244005127080407,2.833333333322,Depth in centimeters,1.1154855643,Depth in inches,Duff & litter,Litter,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
dl,litter,FOR10,t1,0.12566134685507413,3.833333333318,Depth in centimeters,1.5091863517,Depth in inches,Duff & litter,Litter,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
dl,litter,FOR10,t2,-1.6448536269514726,1.333333333328,Depth in centimeters,0.5249343832,Depth in inches,Duff & litter,Litter,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
wd,hr0001,FOR05,t1,-0.125661346855074,1.2747464707350755,Metric tons per hectare,0.5685755890879016,Tons per acre,Coarse woody debris,1-hr,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
wd,hr0001,FOR05,t2,0.12566134685507413,1.6170216486138074,Metric tons per hectare,0.7212406996493342,Tons per acre,Coarse woody debris,1-hr,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
wd,hr0001,FOR06,t1,-0.6744897501960817,0.37740432857611417,Metric tons per hectare,0.16833377724179935,Tons per acre,Coarse woody debris,1-hr,Pre-thinning,Pre-thin,1,1,type_class_time_plot,mean
wd,hr0001,FOR06,t2,1.6448536269514715,4.0374842095831704,Metric tons per hectare,1.8008404146222885,Tons per acre,Coarse woody debris,1-hr,Post-thinning,Post-thin,1,2,type_class_time_plot,mean
