fuel_type,fuel_class,plot_id,n_transect,quadrat,plot_tran,time,si_value,si_units,us_value,us_units,lab_time,lab_fuel,lab_class,lab_time_abbr,order_class,order_time
wd,hr0001,FOR05,1,NA,FOR05_1,t1,0.4906581458613758,Metric tons per hectare,0.21884841474637637,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
wd,hr0001,FOR05,1,NA,FOR05_1,t2,1.605324471667137,Metric tons per hectare,0.7160234039550121,Tons per acre,Post-thinning,Coarse woody debris,1-hr,Post-thin,1,2
wd,hr0001,FOR05,2,NA,FOR05_2,t1,2.258223162578433,Metric tons per hectare,1.0072360225595152,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
wd,hr0001,FOR05,2,NA,FOR05_2,t2,1.4638457934853624,Metric tons per hectare,0.6529196224287968,Tons per acre,Post-thinning,Coarse woody debris,1-hr,Post-thin,1,2
wd,hr0001,FOR05,3,NA,FOR05_3,t1,1.0753581037654178,Metric tons per hectare,0.4796423299578135,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
wd,hr0001,FOR05,3,NA,FOR05_3,t2,1.7818946806889226,Metric tons per hectare,0.7947790725641939,Tons per acre,Post-thinning,Coarse woody debris,1-hr,Post-thin,1,2
wd,hr0001,FOR06,1,NA,FOR06_1,t1,0.8815369295808346,Metric tons per hectare,0.39319220766317337,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
wd,hr0001,FOR06,1,NA,FOR06_1,t2,2.4683326419447846,Metric tons per hectare,1.1009512229905374,Tons per acre,Post-thinning,Coarse woody debris,1-hr,Post-thin,1,2
wd,hr0001,FOR06,2,NA,FOR06_2,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
wd,hr0001,FOR06,2,NA,FOR06_2,t2,8.728596588906196,Metric tons per hectare,3.8932188175317557,Tons per acre,Post-thinning,Coarse woody debris,1-hr,Post-thin,1,2
wd,hr0001,FOR06,3,NA,FOR06_3,t1,0.2506760561475078,Metric tons per hectare,0.11180912406222471,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
wd,hr0001,FOR06,3,NA,FOR06_3,t2,0.9155233978985305,Metric tons per hectare,0.40835120334457203,Tons per acre,Post-thinning,Coarse woody debris,1-hr,Post-thin,1,2
wd,hr0001,FOR07,1,NA,FOR07_1,t1,5.896315553208402,Metric tons per hectare,2.629935572349867,Tons per acre,Pre-thinning,Coarse woody debris,1-hr,Pre-thin,1,1
