data_type,question,method,fuel_class,effect,group1,group2,p_adj,p_adj_signif,statistic,df,ges,p,p_05,n1,n2,d_fn,d_fd
dw,q1a,me,,year,,,0.593,ns,0.42,"1,11",0.025,0.593,,,,1.35,10.84
dw,q1b,pwc,,,2016,2017,1,ns,-0.34,8,,0.746,,9,9,,
dw,q1b,pwc,,,2016,2019,1,ns,-0.02,8,,0.988,,9,9,,
dw,q1b,pwc,,,2016,2021,1,ns,1.11,8,,0.3,,9,9,,
dw,q1b,pwc,,,2017,2019,1,ns,1.13,8,,0.292,,9,9,,
dw,q1b,pwc,,,2017,2021,1,ns,0.97,8,,0.362,,9,9,,
dw,q1b,pwc,,,2019,2021,1,ns,0.66,8,,0.527,,9,9,,
dw,q2,aov2,,fuel_class,,,0.12,ns,5.93,"1,8",0.232,0.04,*,,,1.03,8.23
dw,q2,aov2,,fuel_class:year,,,0.135,ns,1.89,"12,96",0.085,0.045,*,,,12,96
dw,q2,aov2,,year,,,1,ns,0.42,"1,11",0.005,0.593,,,,1.35,10.84
dw,q3,me,hr0001,year,,,3.62E-05,***,15.72,"3,24",0.606,7.24E-06,*,,,3,24
dw,q3,me,hr0010,year,,,8.85E-05,***,33.64,"2,13",0.782,1.77E-05,*,,,1.58,12.63
dw,q3,me,hr0100,year,,,0.03,*,11.39,"1,10",0.517,0.006,*,,,1.19,9.52
dw,q3,me,hr1000r,year,,,1,ns,1.37,"1,10",0.076,0.281,,,,1.29,10.3
dw,q3,me,hr1000s,year,,,0.605,ns,2.14,"3,24",0.167,0.121,,,,3,24
dw,q4,pwc,hr0001,,2016,2021,0.007,**,4.92,8,,0.001,,9,9,,
dw,q4,pwc,hr0001,,2016,2017,0.01,*,4.62,8,,0.002,,9,9,,
dw,q4,pwc,hr0001,,2017,2019,0.015,*,-4.34,8,,0.002,,9,9,,
dw,q4,pwc,hr0001,,2019,2021,0.062,ns,3.33,8,,0.01,,9,9,,
dw,q4,pwc,hr0001,,2016,2019,0.135,ns,2.82,8,,0.022,,9,9,,
dw,q4,pwc,hr0001,,2017,2021,1,ns,0.29,8,,0.776,,9,9,,
dw,q4,pwc,hr0010,,2016,2017,4.61E-04,***,7.39,8,,7.68E-05,,9,9,,
dw,q4,pwc,hr0010,,2016,2021,8.58E-04,***,6.77,8,,1.43E-04,,9,9,,
dw,q4,pwc,hr0010,,2016,2019,0.004,**,5.44,8,,6.18E-04,,9,9,,
dw,q4,pwc,hr0010,,2017,2021,0.321,ns,-2.26,8,,0.054,,9,9,,
dw,q4,pwc,hr0010,,2017,2019,0.34,ns,-2.23,8,,0.057,,9,9,,
dw,q4,pwc,hr0010,,2019,2021,1,ns,0.02,8,,0.981,,9,9,,
dw,q4,pwc,hr0100,,2016,2017,0.043,*,3.58,8,,0.007,,9,9,,
dw,q4,pwc,hr0100,,2016,2021,0.052,ns,3.45,8,,0.009,,9,9,,
dw,q4,pwc,hr0100,,2016,2019,0.053,ns,3.44,8,,0.009,,9,9,,
dw,q4,pwc,hr0100,,2017,2019,1,ns,-0.46,8,,0.661,,9,9,,
dw,q4,pwc,hr0100,,2017,2021,1,ns,0.03,8,,0.974,,9,9,,
dw,q4,pwc,hr0100,,2019,2021,1,ns,0.51,8,,0.626,,9,9,,
dw,q4,pwc,hr1000r,,2016,2017,1,ns,-1.47,8,,0.179,,9,9,,
dw,q4,pwc,hr1000r,,2016,2019,1,ns,-1.16,8,,0.279,,9,9,,
dw,q4,pwc,hr1000r,,2016,2021,1,ns,-1.38,8,,0.204,,9,9,,
dw,q4,pwc,hr1000r,,2017,2019,1,ns,1.43,8,,0.19,,9,9,,
dw,q4,pwc,hr1000r,,2017,2021,1,ns,1.04,8,,0.329,,9,9,,
dw,q4,pwc,hr1000r,,2019,2021,1,ns,0.62,8,,0.553,,9,9,,
dw,q4,pwc,hr1000s,,2016,2017,0.543,ns,1.46,8,,0.181,,9,9,,
dw,q4,pwc,hr1000s,,2016,2019,0.543,ns,1.46,8,,0.181,,9,9,,
dw,q4,pwc,hr1000s,,2016,2021,0.543,ns,1.46,8,,0.181,,9,9,,
dw,q4,pwc,hr1000s,,2017,2019,,ns,,8,,,,9,9,,
dw,q4,pwc,hr1000s,,2017,2021,,ns,,8,,,,9,9,,
dw,q4,pwc,hr1000s,,2019,2021,,ns,,8,,,,9,9,,
ld,q1a,me,,year,,,1.73E-05,***,14.03,"3,24",0.59,1.73E-05,*,,,3,24
ld,q1b,pwc,,,2016,2017,8.28E-04,***,6.80,8,,1.38E-04,,9,9,,
ld,q1b,pwc,,,2016,2021,0.003,**,5.55,8,,5.42E-04,,9,9,,
ld,q1b,pwc,,,2017,2019,0.204,ns,-2.55,8,,0.034,,9,9,,
ld,q1b,pwc,,,2016,2019,0.268,ns,2.38,8,,0.045,,9,9,,
ld,q1b,pwc,,,2019,2021,0.439,ns,2.06,8,,0.073,,9,9,,
ld,q1b,pwc,,,2017,2021,1,ns,-0.83,8,,0.431,,9,9,,
ld,q2,aov2,,year,,,5.19E-05,***,14.03,"3,24",0.451,1.73E-05,*,,,3,24
ld,q2,aov2,,fuel_class,,,5.82E-04,***,41.88,"1,8",0.211,1.94E-04,*,,,1,8
ld,q2,aov2,,fuel_class:year,,,0.006,**,10.38,"2,14",0.329,0.002,*,,,1.75,13.99
ld,q3,me,duff,year,,,1.07E-05,***,62.92,"1,10",0.853,5.37E-06,*,,,1.29,10.29
ld,q3,me,litter,year,,,0.004,**,6.83,"3,24",0.423,0.002,*,,,3,24
ld,q4,pwc,duff,,2016,2019,9.24E-05,***,9.23,8,,1.54E-05,,9,9,,
ld,q4,pwc,duff,,2016,2021,2.08E-04,***,8.26,8,,3.46E-05,,9,9,,
ld,q4,pwc,duff,,2016,2017,7.38E-04,***,6.91,8,,1.23E-04,,9,9,,
ld,q4,pwc,duff,,2017,2019,0.001,**,6.55,8,,1.79E-04,,9,9,,
ld,q4,pwc,duff,,2017,2021,0.005,**,5.12,8,,9.05E-04,,9,9,,
ld,q4,pwc,duff,,2019,2021,1,ns,-1.23,8,,0.254,,9,9,,
ld,q4,pwc,litter,,2016,2017,0.006,**,5.06,8,,9.81E-04,,9,9,,
ld,q4,pwc,litter,,2017,2019,0.046,*,-3.54,8,,0.008,,9,9,,
ld,q4,pwc,litter,,2017,2021,0.248,ns,-2.43,8,,0.041,,9,9,,
ld,q4,pwc,litter,,2016,2021,0.273,ns,2.37,8,,0.046,,9,9,,
ld,q4,pwc,litter,,2019,2021,0.335,ns,2.24,8,,0.056,,9,9,,
ld,q4,pwc,litter,,2016,2019,1,ns,-0.47,8,,0.65,,9,9,,
